order_id,order_date,state,zone,category,brand_type,customer_gender,customer_age,base_price,discount_percent,final_price,units_sold,revenue,sales_event,competition_intensity,inventory_pressure,Age_Group,Discount_Category,Profit
ORD0000001,2023-01-31,West Bengal,East,Fashion,Mass,Male,28,1810.89,65.0,633.81,29,18380.49,Normal,Medium,High,26-35,High Discount,17746.68
ORD0000002,2023-01-31,Gujarat,West,Sports & Fitness,Mass,Male,19,5678.15,50.83,2791.95,67,187060.65,Normal,Medium,High,18-25,High Discount,184268.69999999998
ORD0000003,2023-01-31,Delhi NCR,North,Grocery Essentials,Mass,Male,25,169.98,35.26,110.05,57,6272.85,Normal,Medium,Low,18-25,High Discount,6162.8
ORD0000004,2023-01-31,Madhya Pradesh,Central,Footwear,Mass,Female,30,3244.91,61.94,1235.01,55,67925.55,Normal,High,High,26-35,High Discount,66690.54000000001
ORD0000005,2023-01-31,Haryana,North,Fashion,Premium,Female,33,697.44,48.27,360.79,29,10462.91,Festival,Medium,High,26-35,High Discount,10102.119999999999
ORD0000006,2023-01-31,Punjab,North,Grocery Essentials,Mass,Female,19,100.55,65.0,35.19,16,563.04,Festival,High,High,18-25,High Discount,527.8499999999999
ORD0000007,2023-01-31,Delhi NCR,North,Home & Living,Mass,Female,47,2382.06,46.86,1265.83,34,43038.22,Normal,Medium,High,46-60,High Discount,41772.39
ORD0000008,2023-01-31,West Bengal,East,Fashion,Mass,Male,23,580.72,46.86,308.59,27,8331.93,Normal,Medium,High,18-25,High Discount,8023.34
ORD0000009,2023-01-31,West Bengal,East,Grocery Essentials,Mass,Male,45,132.67,65.0,46.43,52,2414.36,Festival,High,Low,36-45,High Discount,2367.9300000000003
ORD0000010,2023-01-31,Gujarat,West,Grocery Essentials,Premium,Male,40,419.25,40.48,249.54,44,10979.76,Normal,Medium,High,36-45,High Discount,10730.22
ORD0000011,2023-01-31,Uttar Pradesh,North,Beauty & Personal Care,Mass,Female,22,1141.42,64.08,410.0,13,5330.0,Normal,Medium,Low,18-25,High Discount,4920.0
ORD0000012,2023-01-31,Kerala,South,Grocery Essentials,Premium,Male,21,701.96,43.81,394.43,49,19327.07,Festival,High,Low,18-25,High Discount,18932.64
ORD0000013,2023-01-31,Karnataka,South,Sports & Fitness,Mass,Female,34,1390.31,65.0,486.61,52,25303.72,Normal,High,High,26-35,High Discount,24817.11
ORD0000014,2023-01-31,Maharashtra,West,Fashion,Mass,Female,29,3329.39,26.75,2438.78,47,114622.66,Normal,Medium,Low,26-35,High Discount,112183.88
ORD0000015,2023-01-31,Odisha,East,Home & Living,Premium,Male,53,2000.65,18.44,1631.73,14,22844.22,Festival,Low,Low,46-60,Medium Discount,21212.49
ORD0000016,2023-01-31,Punjab,North,Grocery Essentials,Mass,Male,53,527.0,55.83,232.78,11,2560.58,Normal,Medium,Low,46-60,High Discount,2327.7999999999997
ORD0000017,2023-01-31,Kerala,South,Home & Living,Mass,Male,22,5528.47,24.23,4188.92,21,87967.32,Normal,Medium,Low,18-25,High Discount,83778.40000000001
ORD0000018,2023-01-31,Madhya Pradesh,Central,Beauty & Personal Care,Mass,Male,33,1961.8,38.38,1208.86,42,50772.12,Normal,High,Low,26-35,High Discount,49563.26
ORD0000019,2023-01-31,Tamil Nadu,South,Grocery Essentials,Mass,Female,30,482.7,30.17,337.07,66,22246.62,Festival,Medium,Low,26-35,High Discount,21909.55
ORD0000020,2023-01-31,Gujarat,West,Footwear,Mass,Male,44,4010.58,61.67,1537.26,16,24596.16,Normal,Medium,Low,36-45,High Discount,23058.9
ORD0000021,2023-01-31,Gujarat,West,Electronics,Premium,Female,19,8381.1,32.27,5676.52,25,141913.0,Normal,Low,Low,18-25,High Discount,136236.48
ORD0000022,2023-01-31,Punjab,North,Premium Lifestyle,Mass,Male,31,10274.88,38.65,6303.64,21,132376.44,Normal,Medium,Low,26-35,High Discount,126072.8
ORD0000023,2023-01-31,Delhi NCR,North,Premium Lifestyle,Premium,Male,23,13289.87,39.16,8085.56,53,428534.68,Normal,Medium,High,18-25,High Discount,420449.12
ORD0000024,2023-01-31,Gujarat,West,Grocery Essentials,Mass,Female,27,680.12,37.62,424.26,34,14424.84,Normal,Medium,High,26-35,High Discount,14000.58
ORD0000025,2023-01-31,Gujarat,West,Premium Lifestyle,Premium,Male,46,5550.17,33.08,3714.17,5,18570.85,Normal,Medium,Low,46-60,High Discount,14856.679999999998
ORD0000026,2023-01-31,Gujarat,West,Grocery Essentials,Mass,Female,28,110.95,38.29,68.47,11,753.17,Festival,Low,Low,26-35,High Discount,684.6999999999999
ORD0000027,2023-01-31,Delhi NCR,North,Home & Living,Premium,Female,49,1833.32,13.19,1591.51,19,30238.69,Normal,Medium,High,46-60,Medium Discount,28647.18
ORD0000028,2023-01-31,West Bengal,East,Premium Lifestyle,Mass,Male,25,6187.27,44.12,3457.45,9,31117.05,Normal,Low,Low,18-25,High Discount,27659.6
ORD0000029,2023-01-31,Haryana,North,Beauty & Personal Care,Mass,Male,27,1996.79,14.07,1715.84,12,20590.08,Normal,Medium,Low,26-35,Medium Discount,18874.24
ORD0000030,2023-01-31,Gujarat,West,Grocery Essentials,Mass,Female,18,555.75,60.32,220.52,38,8379.76,Normal,Medium,Low,18-25,High Discount,8159.24
ORD0000031,2023-01-31,Telangana,South,Grocery Essentials,Mass,Female,29,536.31,28.2,385.07,34,13092.38,Normal,Medium,Low,26-35,High Discount,12707.31
ORD0000032,2023-01-31,Madhya Pradesh,Central,Fashion,Mass,Male,44,1797.86,41.79,1046.53,11,11511.83,Normal,Low,Low,36-45,High Discount,10465.3
ORD0000033,2023-01-31,Kerala,South,Fashion,Premium,Female,27,3053.62,37.31,1914.31,17,32543.27,Festival,Medium,Low,26-35,High Discount,30628.96
ORD0000034,2023-01-31,Madhya Pradesh,Central,Electronics,Mass,Male,36,7249.93,29.58,5105.4,22,112318.8,Normal,High,High,36-45,High Discount,107213.40000000001
ORD0000035,2023-01-31,Karnataka,South,Home & Living,Mass,Male,20,5214.35,54.7,2362.1,56,132277.6,Normal,High,Low,18-25,High Discount,129915.5
ORD0000036,2023-01-31,Telangana,South,Electronics,Mass,Male,29,7444.16,43.75,4187.34,39,163306.26,Normal,High,Low,26-35,High Discount,159118.92
ORD0000037,2023-01-31,Telangana,South,Beauty & Personal Care,Mass,Male,41,543.96,39.16,330.95,41,13568.95,Normal,High,Low,36-45,High Discount,13238.0
ORD0000038,2023-01-31,Karnataka,South,Electronics,Premium,Female,37,3282.86,35.27,2125.0,46,97750.0,Normal,Medium,High,36-45,High Discount,95625.0
ORD0000039,2023-01-31,Madhya Pradesh,Central,Electronics,Premium,Male,19,8069.48,37.34,5056.34,14,70788.76,Normal,Medium,High,18-25,High Discount,65732.42
ORD0000040,2023-01-31,Punjab,North,Beauty & Personal Care,Premium,Male,19,848.44,32.36,573.88,50,28694.0,Festival,Low,High,18-25,High Discount,28120.12
ORD0000041,2023-01-31,Kerala,South,Sports & Fitness,Premium,Female,48,2218.37,38.0,1375.39,16,22006.24,Normal,Medium,Low,46-60,High Discount,20630.850000000002
ORD0000042,2023-01-31,Maharashtra,West,Premium Lifestyle,Mass,Female,52,7187.27,23.87,5471.67,6,32830.02,Normal,High,Low,46-60,High Discount,27358.35
ORD0000043,2023-01-31,Maharashtra,West,Grocery Essentials,Mass,Female,26,537.05,26.26,396.02,47,18612.94,Normal,Medium,Low,26-35,High Discount,18216.92
ORD0000044,2023-01-31,Chhattisgarh,Central,Footwear,Premium,Male,20,4434.43,38.13,2743.58,27,74076.66,Normal,High,Low,18-25,High Discount,71333.08
ORD0000045,2023-01-31,Punjab,North,Sports & Fitness,Mass,Male,51,3499.06,58.58,1449.31,20,28986.2,Normal,Medium,Low,46-60,High Discount,27536.89
